InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Year,Month
550148,23233,WRAP POPPIES  DESIGN,25,2011-04-14 14:36:00,0.42,16882.0,United Kingdom,10.5,2011,4
562688,22469,HEART OF WICKER SMALL,5,2011-08-08 13:53:00,1.65,13869.0,United Kingdom,8.25,2011,8
556044,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2011-06-08 12:50:00,2.08,15764.0,United Kingdom,24.96,2011,6
560260,21907,I'M ON HOLIDAY METAL SIGN,1,2011-07-17 13:32:00,2.1,14044.0,United Kingdom,2.1,2011,7
538418,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2010-12-12 12:00:00,0.55,17372.0,United Kingdom,1.1,2010,12
546751,48185,DOORMAT FAIRY CAKE,1,2011-03-16 12:45:00,7.95,13668.0,United Kingdom,7.95,2011,3
551653,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-05-03 12:03:00,2.95,13282.0,United Kingdom,17.700000000000003,2011,5
558709,22440,BALLOON WATER BOMB PACK OF 35,20,2011-07-01 13:02:00,0.42,17338.0,United Kingdom,8.4,2011,7
536856,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2010-12-03 10:26:00,9.95,13370.0,United Kingdom,39.8,2010,12
565901,21181,PLEASE ONE PERSON METAL SIGN,48,2011-09-07 15:34:00,1.85,13798.0,United Kingdom,88.80000000000001,2011,9
558100,22690,DOORMAT HOME SWEET HOME BLUE ,1,2011-06-26 13:46:00,7.95,17768.0,United Kingdom,7.95,2011,6
549368,84818,DANISH ROSE PHOTO FRAME,1,2011-04-08 11:26:00,2.55,18036.0,United Kingdom,2.55,2011,4
559708,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2011-07-12 10:05:00,6.95,13549.0,United Kingdom,13.9,2011,7
538653,82494L,WOODEN FRAME ANTIQUE WHITE ,24,2010-12-13 15:12:00,2.55,13089.0,United Kingdom,61.2,2010,12
557278,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,12,2011-06-19 12:08:00,2.1,13089.0,United Kingdom,25.200000000000003,2011,6
543293,22430,ENAMEL WATERING CAN CREAM,4,2011-02-07 11:20:00,4.95,17613.0,United Kingdom,19.8,2011,2
552631,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-05-10 12:55:00,1.65,12684.0,France,19.8,2011,5
547820,22561,WOODEN SCHOOL COLOURING SET,24,2011-03-25 14:46:00,1.65,13743.0,United Kingdom,39.6,2011,3
540350,82578,KITCHEN METAL SIGN,1,2011-01-06 14:14:00,0.55,18283.0,United Kingdom,0.55,2011,1
554124,84580,MOUSE TOY WITH PINK T-SHIRT,4,2011-05-23 08:31:00,3.75,13339.0,United Kingdom,15.0,2011,5
556473,48187,DOORMAT NEW ENGLAND,1,2011-06-12 12:00:00,7.95,17265.0,United Kingdom,7.95,2011,6
565491,23318,BOX OF 6 MINI VINTAGE CRACKERS,48,2011-09-05 11:41:00,2.08,13881.0,United Kingdom,99.84,2011,9
549188,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-04-07 10:10:00,4.95,13731.0,United Kingdom,14.85,2011,4
559984,23207,LUNCH BAG ALPHABET DESIGN,1,2011-07-14 11:45:00,1.65,16657.0,United Kingdom,1.65,2011,7
536399,22633,HAND WARMER UNION JACK,6,2010-12-01 10:52:00,1.85,17850.0,United Kingdom,11.1,2010,12
537378,21754,HOME BUILDING BLOCK WORD,8,2010-12-06 13:06:00,5.95,14911.0,EIRE,47.6,2010,12
558766,47566,PARTY BUNTING,8,2011-07-03 13:24:00,4.95,14257.0,United Kingdom,39.6,2011,7
537037,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-05 10:03:00,3.75,17243.0,United Kingdom,22.5,2010,12
547497,22723,SET OF 6 HERB TINS SKETCHBOOK,4,2011-03-23 12:15:00,3.95,14461.0,United Kingdom,15.8,2011,3
544093,48188,DOORMAT WELCOME PUPPIES,2,2011-02-16 09:08:00,7.95,13750.0,United Kingdom,15.9,2011,2
554808,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2011-05-26 13:01:00,2.1,17059.0,United Kingdom,2.1,2011,5
544109,21213,PACK OF 72 SKULL CAKE CASES,24,2011-02-16 10:56:00,0.55,12841.0,United Kingdom,13.2,2011,2
559549,22668,PINK BABY BUNTING,3,2011-07-10 15:25:00,2.95,13230.0,United Kingdom,8.850000000000001,2011,7
540043,21754,HOME BUILDING BLOCK WORD,4,2011-01-04 14:21:00,5.95,15164.0,United Kingdom,23.8,2011,1
